PSTAR: Stopping Powers and Range Tables for Protons

WATER, LIQUID                                                           

Kinetic   Electron. Total     
Energy    Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g 

7.000E+01 9.555E+00 9.559E+00 
7.100E+01 9.451E+00 9.455E+00 
7.200E+01 9.349E+00 9.353E+00 
7.300E+01 9.250E+00 9.254E+00 
7.400E+01 9.153E+00 9.157E+00 
7.500E+01 9.059E+00 9.063E+00 
7.600E+01 8.967E+00 8.971E+00 
7.700E+01 8.878E+00 8.882E+00 
7.800E+01 8.791E+00 8.794E+00 
7.900E+01 8.705E+00 8.709E+00 
8.000E+01 8.622E+00 8.625E+00 
8.100E+01 8.540E+00 8.544E+00 
8.200E+01 8.461E+00 8.464E+00 
8.300E+01 8.383E+00 8.387E+00 
8.400E+01 8.307E+00 8.311E+00 
8.500E+01 8.233E+00 8.236E+00 
8.600E+01 8.160E+00 8.163E+00 
8.700E+01 8.089E+00 8.092E+00 
8.800E+01 8.019E+00 8.023E+00 
8.900E+01 7.951E+00 7.954E+00 
9.000E+01 7.884E+00 7.888E+00 
9.100E+01 7.819E+00 7.822E+00 
9.200E+01 7.755E+00 7.758E+00 
9.300E+01 7.692E+00 7.695E+00 
9.400E+01 7.631E+00 7.634E+00 
9.500E+01 7.570E+00 7.573E+00 
9.600E+01 7.511E+00 7.514E+00 
9.700E+01 7.453E+00 7.456E+00 
9.800E+01 7.397E+00 7.400E+00 
9.900E+01 7.341E+00 7.344E+00 
1.000E+02 7.286E+00 7.289E+00 
1.010E+02 7.232E+00 7.235E+00 
1.020E+02 7.180E+00 7.183E+00 
1.030E+02 7.128E+00 7.131E+00 
1.040E+02 7.077E+00 7.080E+00 
1.050E+02 7.027E+00 7.030E+00 
1.060E+02 6.978E+00 6.981E+00 
1.070E+02 6.930E+00 6.933E+00 
1.080E+02 6.883E+00 6.886E+00 
1.090E+02 6.837E+00 6.839E+00 
1.100E+02 6.791E+00 6.794E+00 
1.110E+02 6.746E+00 6.749E+00 
1.120E+02 6.702E+00 6.705E+00 
1.130E+02 6.659E+00 6.661E+00 
1.140E+02 6.616E+00 6.619E+00 
1.150E+02 6.574E+00 6.577E+00 
1.160E+02 6.533E+00 6.535E+00 
1.170E+02 6.492E+00 6.495E+00 
1.180E+02 6.452E+00 6.455E+00 
1.190E+02 6.413E+00 6.415E+00 
1.200E+02 6.374E+00 6.377E+00 
1.210E+02 6.336E+00 6.339E+00 
1.220E+02 6.299E+00 6.301E+00 
1.230E+02 6.262E+00 6.264E+00 
1.240E+02 6.225E+00 6.228E+00 
1.250E+02 6.190E+00 6.192E+00 
1.260E+02 6.154E+00 6.157E+00 
1.270E+02 6.120E+00 6.122E+00 
1.280E+02 6.085E+00 6.088E+00 
1.290E+02 6.052E+00 6.054E+00 
1.300E+02 6.018E+00 6.021E+00 
1.310E+02 5.986E+00 5.988E+00 
1.320E+02 5.953E+00 5.956E+00 
1.330E+02 5.922E+00 5.924E+00 
1.340E+02 5.890E+00 5.892E+00 
1.350E+02 5.859E+00 5.861E+00 
1.360E+02 5.829E+00 5.831E+00 
1.370E+02 5.799E+00 5.801E+00 
1.380E+02 5.769E+00 5.771E+00 
1.390E+02 5.740E+00 5.742E+00 
1.400E+02 5.711E+00 5.713E+00 
1.410E+02 5.683E+00 5.685E+00 
1.420E+02 5.655E+00 5.657E+00 
1.430E+02 5.627E+00 5.629E+00 
1.440E+02 5.599E+00 5.602E+00 
1.450E+02 5.573E+00 5.575E+00 
1.460E+02 5.546E+00 5.548E+00 
1.470E+02 5.520E+00 5.522E+00 
1.480E+02 5.494E+00 5.496E+00 
1.490E+02 5.468E+00 5.470E+00 
1.500E+02 5.443E+00 5.445E+00 
1.510E+02 5.418E+00 5.420E+00 
1.520E+02 5.393E+00 5.395E+00 
1.530E+02 5.369E+00 5.371E+00 
1.540E+02 5.345E+00 5.347E+00 
1.550E+02 5.321E+00 5.323E+00 
1.560E+02 5.298E+00 5.300E+00 
1.570E+02 5.275E+00 5.276E+00 
1.580E+02 5.252E+00 5.254E+00 
1.590E+02 5.229E+00 5.231E+00 
1.600E+02 5.207E+00 5.209E+00 
1.610E+02 5.185E+00 5.187E+00 
1.620E+02 5.163E+00 5.165E+00 
1.630E+02 5.141E+00 5.143E+00 
1.640E+02 5.120E+00 5.122E+00 
1.650E+02 5.099E+00 5.101E+00 
1.660E+02 5.078E+00 5.080E+00 
1.670E+02 5.058E+00 5.059E+00 
1.680E+02 5.037E+00 5.039E+00 
1.690E+02 5.017E+00 5.019E+00 
1.700E+02 4.997E+00 4.999E+00 
1.710E+02 4.978E+00 4.979E+00 
1.720E+02 4.958E+00 4.960E+00 
1.730E+02 4.939E+00 4.941E+00 
1.740E+02 4.920E+00 4.922E+00 
1.750E+02 4.901E+00 4.903E+00 
1.760E+02 4.883E+00 4.884E+00 
1.770E+02 4.864E+00 4.866E+00 
