PSTAR: Stopping Powers and Range Tables for Protons

BONE, CORTICAL (ICRP)                                                   

Kinetic   Electron. Total     
Energy    Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g 

7.000E+01 8.549E+00 8.553E+00 
7.100E+01 8.457E+00 8.460E+00 
7.200E+01 8.367E+00 8.370E+00 
7.300E+01 8.279E+00 8.282E+00 
7.400E+01 8.193E+00 8.197E+00 
7.500E+01 8.110E+00 8.113E+00 
7.600E+01 8.028E+00 8.031E+00 
7.700E+01 7.949E+00 7.952E+00 
7.800E+01 7.871E+00 7.874E+00 
7.900E+01 7.795E+00 7.798E+00 
8.000E+01 7.721E+00 7.724E+00 
8.100E+01 7.649E+00 7.652E+00 
8.200E+01 7.578E+00 7.581E+00 
8.300E+01 7.509E+00 7.512E+00 
8.400E+01 7.442E+00 7.445E+00 
8.500E+01 7.376E+00 7.378E+00 
8.600E+01 7.311E+00 7.314E+00 
8.700E+01 7.248E+00 7.251E+00 
8.800E+01 7.186E+00 7.189E+00 
8.900E+01 7.125E+00 7.128E+00 
9.000E+01 7.066E+00 7.069E+00 
9.100E+01 7.008E+00 7.011E+00 
9.200E+01 6.951E+00 6.954E+00 
9.300E+01 6.895E+00 6.898E+00 
9.400E+01 6.840E+00 6.843E+00 
9.500E+01 6.787E+00 6.789E+00 
9.600E+01 6.734E+00 6.737E+00 
9.700E+01 6.683E+00 6.685E+00 
9.800E+01 6.632E+00 6.635E+00 
9.900E+01 6.583E+00 6.585E+00 
1.000E+02 6.534E+00 6.536E+00 
1.010E+02 6.486E+00 6.489E+00 
1.020E+02 6.439E+00 6.442E+00 
1.030E+02 6.393E+00 6.396E+00 
1.040E+02 6.348E+00 6.351E+00 
1.050E+02 6.304E+00 6.306E+00 
1.060E+02 6.260E+00 6.263E+00 
1.070E+02 6.217E+00 6.220E+00 
1.080E+02 6.175E+00 6.178E+00 
1.090E+02 6.134E+00 6.136E+00 
1.100E+02 6.093E+00 6.096E+00 
1.110E+02 6.053E+00 6.056E+00 
1.120E+02 6.014E+00 6.016E+00 
1.130E+02 5.975E+00 5.978E+00 
1.140E+02 5.937E+00 5.940E+00 
1.150E+02 5.900E+00 5.902E+00 
1.160E+02 5.863E+00 5.865E+00 
1.170E+02 5.827E+00 5.829E+00 
1.180E+02 5.792E+00 5.794E+00 
1.190E+02 5.757E+00 5.759E+00 
1.200E+02 5.722E+00 5.724E+00 
1.210E+02 5.688E+00 5.690E+00 
1.220E+02 5.655E+00 5.657E+00 
1.230E+02 5.622E+00 5.624E+00 
1.240E+02 5.589E+00 5.591E+00 
1.250E+02 5.558E+00 5.560E+00 
1.260E+02 5.526E+00 5.528E+00 
1.270E+02 5.495E+00 5.497E+00 
1.280E+02 5.465E+00 5.467E+00 
1.290E+02 5.435E+00 5.437E+00 
1.300E+02 5.405E+00 5.407E+00 
